,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per,8_word,8_per,9_word,9_per,10_word,10_per,11_word,11_per,12_word,12_per,13_word,13_per,14_word,14_per,15_word,15_per,16_word,16_per,17_word,17_per,18_word,18_per,19_word,19_per,20_word,20_per,21_word,21_per,22_word,22_per,23_word,23_per,24_word,24_per,25_word,25_per,26_word,26_per,27_word,27_per,28_word,28_per,29_word,29_per,30_word,30_per,31_word,31_per,32_word,32_per,33_word,33_per,34_word,34_per,35_word,35_per,36_word,36_per,37_word,37_per
0,dad,0.023,dream,0.037,sum,0.024,ball,0.011,spelling_mistake,0.005,parent,0.014,vote,0.004,pm,0.081,level,0.027,database,0.029,dog,0.012,western,0.0,deficiency,0.01,interview,0.014,smell,0.012,swirl,0.004,bike,0.008,mail,0.039,student,0.021,memory,0.026,community,0.013,indirectly,0.002,vin,0.016,vote,0.0,law,0.015,vote,0.008,cartoon,0.023,cat,0.018,son,0.007,table,0.01,continent,0.0,film,0.011,capsize,0.003,state,0.019,skill,0.019,bear,0.012,album,0.014,increase,0.03
1,chest,0.017,leg,0.02,exercise,0.021,church,0.007,pious,0.003,entrance,0.012,train,0.004,blogger,0.014,knee,0.014,iced_water,0.008,message,0.01,entertain,0.0,mountain_dew,0.005,market,0.009,star,0.008,arguing,0.002,exam,0.006,control,0.02,lol,0.017,housing,0.015,wat,0.012,aptly,0.0,olive,0.011,state,0.0,study,0.015,most_likely,0.006,shoot,0.02,season,0.014,smoke,0.006,language,0.009,function,0.0,individual,0.007,screwup,0.0,theory,0.017,relieve,0.01,stitch,0.01,task,0.01,ride,0.019
2,symbol,0.013,voter,0.019,drug,0.017,freedom,0.006,platform,0.0,skull,0.012,bus,0.004,tibetan,0.009,fault,0.012,sleeve,0.007,tree,0.008,taste,0.0,gorbie,0.001,cast,0.008,hair,0.006,reflection,0.0,goal,0.006,age,0.011,am,0.015,encounter,0.013,abortion,0.009,purse,0.0,accountant,0.011,pool,0.0,baby,0.015,member,0.006,addict,0.011,window,0.01,chocolate,0.006,pop,0.006,ringotdl,0.0,wanna,0.006,beginning,0.0,electoral_vote,0.012,golfer,0.01,row,0.01,daughter,0.009,platform,0.017
3,lb,0.01,poem,0.011,value,0.017,mum,0.006,sideline,0.0,rd,0.011,government,0.003,bargain_shopping,0.008,development,0.011,realistically,0.007,car,0.008,observation,0.0,renne,0.001,college,0.007,blogge,0.006,diving,0.0,low,0.005,venture,0.01,relationship,0.015,class,0.013,letter,0.008,extremely,0.0,lunch,0.01,sorry,0.0,band,0.009,novel,0.005,engineer,0.01,shirt,0.009,hire,0.005,system,0.006,project,0.0,bag,0.005,professor,0.0,several,0.011,review,0.009,angel,0.009,gay,0.007,average,0.01
4,soul,0.008,charge,0.01,print,0.015,shoe,0.006,concentrate,0.0,rat,0.008,argument,0.003,hunger,0.006,responsible,0.011,suprise,0.006,program,0.008,eccentric,0.0,puppet_master,0.0,sale,0.007,holiday,0.006,grumpy,0.0,speech,0.004,describe,0.01,mile,0.014,frame,0.013,teacher,0.008,donate,0.0,shocked,0.008,suck,0.0,hike,0.007,animal,0.005,guard,0.01,choice,0.009,profile,0.005,river,0.005,russian,0.0,tat,0.005,regal,0.0,bra,0.011,apology,0.008,shopping,0.008,delete,0.007,wash,0.01
5,actuality,0.007,discover,0.009,function,0.014,writing,0.005,black,0.0,bimbo,0.007,user,0.003,giddy,0.006,unique,0.01,gentle,0.005,coffee,0.008,beach,0.0,bat,0.0,sun,0.007,death,0.005,vow,0.0,fan,0.004,ritual,0.007,race,0.013,sensitive,0.011,church,0.007,web,0.0,ogre,0.007,blame,0.0,worker,0.006,button,0.005,charisma,0.009,chinese,0.008,gift,0.005,service,0.005,card,0.0,medium,0.005,describe,0.0,electoral_college,0.01,prostitute,0.008,grade,0.008,pair,0.007,sunny,0.009
6,zit,0.006,smile_face,0.008,clothe,0.014,patient,0.005,precede,0.0,tyke,0.006,police,0.003,clam,0.005,alive,0.009,underarm,0.005,video,0.007,allergy,0.0,update,0.0,presentation,0.007,response,0.005,trouble,0.0,field,0.004,working,0.006,society,0.007,ve,0.011,peace,0.006,silver,0.0,shabby,0.006,single,0.0,pride,0.006,flight,0.005,intimacy,0.008,collection,0.007,dress,0.004,driver,0.005,cat,0.0,firm,0.005,expense,0.0,role,0.009,ego_pride_worth,0.007,pattern,0.007,title,0.007,west,0.008
7,increasingly,0.006,alcoholic,0.007,scream,0.013,snow,0.005,crash,0.0,crouch,0.006,glass,0.003,polygamy,0.005,license,0.009,individuality,0.005,neighbor,0.007,gunner,0.0,nee,0.0,lawyer,0.007,cruise,0.005,sunset,0.0,beer,0.004,overview,0.006,horrible,0.007,cruel,0.01,drunk,0.006,dress,0.0,scorch,0.005,christian,0.0,rate,0.006,prayer,0.005,sabbatical,0.006,product,0.006,entry,0.004,apply,0.005,sum,0.0,card,0.005,journey,0.0,encyclopedia,0.009,firefighter,0.006,asian,0.007,smoke,0.007,buck,0.008
8,eyesight,0.005,partisan,0.007,kitten,0.012,equal,0.005,artillery,0.0,limit,0.004,nation,0.003,yard_sale,0.005,pirate,0.009,jack,0.005,ring,0.006,disc,0.0,naughty,0.0,prison,0.007,period,0.005,dissappear,0.0,meeting,0.003,smell,0.006,teach,0.005,journey,0.01,cheese,0.005,irc,0.0,riddled,0.005,amp,0.0,flat,0.006,rich,0.004,delicacy,0.005,bathroom,0.006,teen,0.004,management,0.004,fan,0.0,boss,0.005,prayer,0.0,bras,0.009,dressage,0.006,birthday,0.007,church,0.006,soothing,0.007
9,economist,0.005,sequence,0.007,dessert,0.01,invitation,0.005,revolution,0.0,bandit,0.004,terrorist,0.003,superior,0.005,evidence,0.008,belgian,0.003,weed,0.006,highway,0.0,sleek,0.0,city,0.007,creative,0.005,rasberry,0.0,score,0.003,scholarship,0.005,supply,0.005,degree,0.01,pizza,0.005,pm,0.0,vincent,0.004,debt,0.0,percent,0.005,bill,0.004,sloth,0.005,beard,0.005,player,0.004,ur,0.004,serial,0.0,original,0.005,review,0.0,dire,0.009,wage,0.005,tank,0.006,pant,0.006,meantime,0.006
10,overreact,0.005,fitness,0.007,above,0.009,soldier,0.005,missionary,0.0,prominence,0.003,military,0.002,thousand_thousand,0.004,average,0.008,recently,0.003,park,0.005,increase,0.0,ringotdl,0.0,cap,0.006,application,0.005,family_member,0.0,religious,0.003,bluff,0.005,pound,0.005,spot,0.009,angry,0.005,lol,0.0,footie,0.004,dream,0.0,milk,0.005,lane,0.004,buffalo,0.005,count,0.005,cell_phone,0.003,yell,0.004,bet,0.0,marry,0.005,perfect,0.0,remark,0.008,firing,0.005,belong,0.006,lucky,0.006,wealthy,0.006
