,0_word,0_per,1_word,1_per,2_word,2_per,3_word,3_per,4_word,4_per,5_word,5_per,6_word,6_per,7_word,7_per,8_word,8_per,9_word,9_per,10_word,10_per,11_word,11_per,12_word,12_per,13_word,13_per,14_word,14_per,15_word,15_per,16_word,16_per,17_word,17_per,18_word,18_per,19_word,19_per,20_word,20_per,21_word,21_per,22_word,22_per,23_word,23_per,24_word,24_per,25_word,25_per,26_word,26_per,27_word,27_per,28_word,28_per,29_word,29_per,30_word,30_per,31_word,31_per,32_word,32_per,33_word,33_per,34_word,34_per,35_word,35_per,36_word,36_per,37_word,37_per
0,news,0.154,go,0.849,save,0.107,parent,0.176,take,0.09,link,0.164,love,0.271,band,0.174,thank,0.248,music,0.144,stop,0.235,kill,0.068,watch,0.145,urllink,0.849,yesterday,0.121,job,0.129,foot,0.095,guy,0.198,post,0.477,miss,0.143,test,0.228,nbsp,0.681,bring,0.162,idea,0.118,race,0.163,get,0.11,car,0.165,play,0.193,rest,0.159,site,0.102,read,0.279,dance,0.102,weekend,0.138,hand,0.27,song,0.273,catch,0.112,know,0.048,throw,0.237
1,mention,0.144,update,0.028,bar,0.094,fire,0.1,look,0.073,internet,0.116,change,0.111,computer,0.127,trip,0.133,listen,0.123,problem,0.174,weather,0.05,part,0.112,window,0.035,top,0.069,water,0.115,team,0.094,girl,0.112,taste,0.104,learn,0.095,wat,0.131,comment,0.102,fuck,0.09,send,0.083,form,0.137,time,0.058,drive,0.147,game,0.105,matter,0.082,experience,0.076,blog,0.259,open,0.088,class,0.105,set,0.183,enjoy,0.214,pass,0.107,think,0.046,season,0.138
2,expect,0.135,hair,0.026,smile,0.079,burn,0.096,find,0.069,program,0.112,hold,0.061,fill,0.096,group,0.112,child,0.096,son,0.083,beat,0.048,movie,0.112,service,0.024,list,0.058,pay,0.076,fly,0.07,shit,0.053,pray,0.034,lie,0.056,blame,0.105,it,0.032,pain,0.075,country,0.075,treat,0.089,day,0.049,food,0.104,pick,0.078,bitch,0.075,other,0.076,book,0.184,street,0.083,bed,0.07,mother,0.097,continue,0.118,laugh,0.1,make,0.039,size,0.115
3,box,0.088,rush,0.012,tear,0.076,situation,0.085,year,0.064,account,0.061,feeling,0.042,self,0.095,film,0.097,city,0.087,crap,0.077,rain,0.045,add,0.078,years,0.0,project,0.049,lol,0.071,floor,0.052,ass,0.05,chocolate,0.031,issue,0.05,idiot,0.073,click,0.031,rock,0.073,student,0.061,pocket,0.058,work,0.045,birthday,0.069,hit,0.061,mix,0.055,study,0.063,type,0.095,level,0.078,visit,0.059,return,0.089,relate,0.064,body,0.09,say,0.038,decision,0.078
4,doubt,0.048,haha,0.011,draw,0.067,future,0.081,like,0.049,enter,0.059,view,0.042,report,0.08,fault,0.049,number,0.083,bag,0.075,power,0.043,eye,0.055,omit,0.0,page,0.047,office,0.071,join,0.047,cut,0.042,switch,0.028,blow,0.042,sooo,0.014,discussion,0.014,piss,0.065,create,0.056,request,0.049,today,0.029,ride,0.069,win,0.055,government,0.054,cover,0.052,chair,0.032,kick,0.07,dad,0.054,surprise,0.054,poem,0.052,action,0.059,people,0.038,emotion,0.043
5,compare,0.037,address,0.008,scream,0.061,quote,0.057,seem,0.043,cd,0.057,hurt,0.04,teach,0.065,board,0.043,website,0.073,involve,0.069,practice,0.039,thought,0.052,oddity,0.0,coffee,0.043,summer,0.067,waste,0.042,share,0.036,success,0.027,consider,0.042,oddity,0.0,function,0.01,beer,0.059,email,0.055,basis,0.03,night,0.025,shoe,0.048,dog,0.054,attend,0.053,member,0.048,universe,0.02,pool,0.062,tv,0.05,cream,0.035,contain,0.036,joke,0.052,thing,0.037,announce,0.037
6,rant,0.037,math,0.008,hide,0.06,pop,0.048,show,0.04,load,0.054,include,0.038,base,0.058,up,0.036,fix,0.04,truth,0.062,choose,0.038,character,0.035,nerves,0.0,church,0.04,arm,0.047,tree,0.041,chance,0.036,regard,0.027,force,0.04,nerves,0.0,classroom,0.01,card,0.047,shirt,0.045,contract,0.03,start,0.025,cook,0.045,door,0.041,goal,0.047,result,0.042,plenty,0.01,mile,0.052,dinner,0.047,daughter,0.035,planet,0.033,avoid,0.033,see,0.035,combination,0.029
7,chip,0.036,min,0.006,soul,0.051,strike,0.036,place,0.039,mall,0.052,ve,0.037,mess,0.047,perform,0.027,fit,0.039,appear,0.048,memory,0.034,lead,0.033,circumstancs,0.0,egg,0.031,color,0.041,match,0.038,manage,0.034,code,0.026,wedding,0.037,circumstancs,0.0,years,0.0,track,0.046,age,0.043,disease,0.026,week,0.022,feed,0.029,th,0.04,pound,0.037,lack,0.042,noon,0.01,fail,0.048,front,0.046,confuse,0.027,bless,0.031,block,0.031,want,0.031,jack,0.016
8,medium,0.032,stroke,0.003,restaurant,0.049,intend,0.031,move,0.028,dry,0.03,back,0.036,respect,0.043,cancel,0.023,art,0.033,dictionary,0.009,death,0.034,star,0.033,dampere,0.0,article,0.028,jump,0.032,leg,0.034,fan,0.033,organize,0.022,information,0.037,dampere,0.0,omit,0.0,travel,0.039,opinion,0.038,pc,0.021,leave,0.021,neighbor,0.029,ball,0.035,peace,0.035,amount,0.038,omit,0.0,wash,0.045,lady,0.043,cinema,0.014,years,0.0,opportunity,0.028,need,0.025,altruism,0.0
9,strength,0.028,wad,0.001,shake,0.045,increase,0.029,have,0.027,bastard,0.023,be,0.032,freedom,0.028,good,0.019,screen,0.029,quebecoise,0.0,right,0.033,clothe,0.028,flotsam,0.0,milk,0.027,ground,0.028,field,0.033,college,0.032,development,0.019,marry,0.034,plank,0.0,oddity,0.0,rate,0.033,history,0.037,fist,0.02,call,0.02,park,0.025,record,0.034,faith,0.034,war,0.037,daquiri,0.0,complete,0.044,choice,0.035,cancer,0.013,omit,0.0,screw,0.027,feel,0.024,callng,0.0
