labels,text
1,Omg my parentals are totally gettin on my nerves Hello today.. my mom told me she trusted this orther gurl rather then me.. (her own daughter).. wow that shows how much we get along O well.. i mean aghh.. i know they are here to make our lives better.. but tell me if its just me but it seems like its to make it worse .. adn more stressful Grrr it makes me so mad Atleast my phone wastn taken this time.. lol.. anywho.. now that i got that out Ok well yesterday was my team that i coach.. vball tourney.. and we got secong place woot woot But hey you know what makes me mad is that it is an all gurls southlake vball league... and guess what there was a guy on this team who was the whole team He was the only one who could overhand.. adn cream it on the poor lil gurls it made me so mad If he wasnt there we could have beat them And gottten first But hey o well thats ok.. atleast its not my team i would have been ticked out the wahzoo.. and yall know i would have LoL Ok well today i was cleanin my room and stuff and my closet.. since i was grounded to my room(technically i should be there now).. and i found all my pictures adn old year books and stuff and took a moment to look back at all of them.. and Omgosh .. it brought back so many memories Good timez and bad And then i looked at all my notes from the year.. (i am still doing that now.. if all yall remember my note pocket) and like omgosh i was reading all the fights and tears and happiness in those notes and it made me think about all the things that happened this year and if they should have happened or.. if we should have prevented them Especially me and RAEGANS fights.. omg babe those are hilarious..I LOVE YOU TO DEATH LoL and like i thought about how i wasnt going to elt some of the things happen that did this year happen again That would be just crazi Well i should prob go b4 the madre catches me so i will write later..
1,OMGOSH Kanakuk is only 2 weeks away I am so excited Me and heatehrs bus ride is going to kick butt We always have the randomest convos and do the stupidest things I dunno how i would survive the bus ride without her I am so excited.. so many people are commin bak that i got to see last year too And then some people are going to k2 where i should be going .. but know i had to get a 60 sumtin in the devils class ahh I Still get ot go with heather LoL i cant wait so much fun at klifes and parties .. and much much more There is only one downside this year My knee is holding me back from some of the sports Grr.. atleast i get my brace where i can bend my knee.. instead of limp around camp like i did skool and have everyone call me crippled or broken(as brian would say)lol.. but hey .. God will make it just as fun as it always is Just in a very different way LoL :) But hey camp isnt all for the sports.. Its the expierience i get when i am there And hey a hurt knee.. cant sstop me from that I love kamp to much to have anything hold me back from going It is by far the best camp ever All of yall need to go there It is way better than any of the otehr summer camps possible Sorry all u pine covers LoL All of yall need to write me letters or email me to a certain thingy.. i will put it on here later.. in 2 weeeks Well i am going to go watch you got served but i will write in here later I love you all
1,OMGOSH School has been so amazing this year in so many ways.
1,Why does she have to hurt me so bad Why does she say i am the friend shes never had She told me that she would be there whenever i need her Ya right Thats a lie I try to call her.. but no.. she always has to be busy.. and cant talk to me but i can call back 5 min later and she will be talking to someone else I just need her the most right now and she is the only one that understands that i can talk to But no.. she has to ditch me like she always does But then when she needs someone the most.. who does she come crawling to... who listens to her everyword.. who gives her advice on what to do And what do i get back in return...
1,Is it me or are you acting strange Your thoughts and dreams; re-arranged You're trying to be someone new It's obvioulsy not the real you Is it me or are you ignoring me You're being someone I don't want you to be It's like your mind isn't really there Like it drifted off somewhere Is it me or are you not the real you You're someone else but don't know who Whoever you are please come back Cause without you I'm off track Is it me or are you running away Was it something I did or didn't say Your running off with someone else Leaving me with all the pain dealt Is it me or are you acting strange I'm not sure but you have changed Why do people haev to change I mean its good to change for the good.. but i hate watching some of my best friends change for the worse I know this guy And he was a best friend .. util i relized he was lieing about a lot It tore me up inside.. its someone i thought i could talk to when i needed to.. or cry to when i needed to cry But lil did i know.. what i knew of him was a lie It sucks yall thinking you knew the people you could trust.. but when u find out you couldnt it sucks I knwo he knows i care.... but its just weird.. not knowing whether HE'S there
1,Poem 1 I hate you right now But still love you somehow It’s hard to explain When you cant feel my pain.
1,Hey hey just got back from the funniest night ever Omgosh Ok me and dani adn megan adn rachel all went over to dustys apartment to hangout And like ok so we are on our way there and like we are drivin.. and we pull into a krispy cream.. and we are like no we arent eatin here.. so we pull up nxt to dani and chris and we are like no were not eatin here And they were like no we are just puttin the top up And we were likeok good and then dani goes.. 'better for makin out' So next thing we know b4 we go over to dustys.. we all go back over to danielles after church.. (me dani taylor katie megan and rachel) and we swim in her pool adn play vball and dance to brittany spears And then we all got showers YES showers lol haha.. and then chris came in his BRAND SPANKIN NEW MUSTANG CONVERTABLE Omg it was so amazing And then starts the ride to taco bell But ya last night was hilarious.. me and dani wrote all of our inside jokes in her jurnal and we took up like 30 pages.. no joke.. and like it was so funny .. and then like we listened to burm llike Well that was my day.. but dani needs to write in her xanga now.. so i will write tommarow LUV YA mwah
1,Hey yall i am chillin over here with danielle at her house.. and we are listening to avrils new cd while she sings to it
1,Ok 2 days ago heatehr came over and we were hanging out at my house trying to figure out when we could go see a movie.. well we couldnt really get anywhere so we were like hey lets just go to blockbuster So me and heather get in the car waiting for my dad.. well i was just like hey i will back the car out for him and it will go quicker.. so i start to back the car out and i was like wait.. he'll shoot me so i wait till he comes out and i beg him to let me drive.. so he does So i start to back the car out and im going good and then all of a sudden my dad yells at me and i run over the curb.. just slightly though And this was only the second time to abck my dads car out so i did good So im driving down the street and i pull up 10 inches from a stop sign and stop 'No caroline pull all the way up to the front of the sign' ok dad so i pull up 10 more inches.. lol.. so im drving down the neighborhood and it starts to rain so my dad is like pull over here tyou arent drvin in the rain adn i was like ok fine so i pull over.. just a lil to much LoL.. o welll so we go to blockbuster come back and start to watch the movies.. then we chitchatted and had a blast.. tehn teh next day we call danielle at 1100 and hether is like devin go wake up ur sister right now.. so he walks in.. 'DANIELLE GET UP NOW' dani-- 'what' Heather-- get up we are leaving soon .. then dani was like go away i dont wanna go lol It was funny so we just went back to heathers house and hung out and talked on the internet why heather spazzed out Then i went to stephs house with april and her.. and we talked on the internet and watched movies while eating candy and talkking on the phone.. watching peter pan Then we went back to the computer and had some intresting conversations.. lol.. and made nick names for eachotehr
1,Today was an awesome day only because of one thing... or atleast this is the main thing..
