labels,text
24,Hello all I've been itching to get back into the Blog thing for a while.
24,Awesome it's a four day week then a four day weekend then another four day week.
24,I was on the Connecticut Post's site wondering about the recognition of Massachusettes' marriages in my home state.
24,So I get my LSAT scores back next week and I've been all over this forum where people are talking about admissions etc.
24,I'm finally home well at work.
24,Felling Good Nina Simone Birds flyin' high you know how I feel Sun in the sky you know how I feel Breeze driftin' on by you know how I feel Its a new dawn its a new day its a new life for me yeah its a new dawn its a new day its a new life for me ooooooooh AND I'M FEELING GOOD Fish in the sea you know how I feel River runnin' free you know how I feel Blossom on the tree you know how I feel Its a new dawn its a new day its a new life for me And I'm feelin good Dragonfly out in the sun you know what i mean dont you know Butterflies all havin' fun you know what I mean Sleep in peace when day is done that's what I mean And this old world is a new world and a bold world for me Stars when you shine you know how I feel Scent of the pine you know how I feel Yeah Freedom is mine and I know how I feel Its a new dawn its a new day its a new life for me (Free styling) OH I'M FEELING GOOOOOOOOOOOOOD.
24,So I was sitting on the john the other day and it was all rocking back and forth.
24,So I found this site in a gay magazine.
24,A lot of people believe that an employer’s decision on hiring a candidate depends on just skills and experience.
24,Emailing may seem simple but there are some complications that you need to be aware of otherwise your email may never be read by an employer.
24,There are over 6 Billion people on earth and to no surprise there aren’t 6 billion jobs to equal the score.
24,The person who always gets a good job is relentless and persistent in getting the job.
24,I think it’s about time that you tap into the mind of employer to explore their needs and wants.
24,How Reading Employers’ Chromosomes Will Get You Riches I think it’s about time that you tap into the mind of employer to explore their needs and wants.
24,12th August After a long thought about what to post in my second blog I am still clueless and my imagination seems to abscond when I need it the most.
24,‘The Da Vinci Code’ by Dan Brown is one book that has taken world by storm.
35,the top spot for me was las vegas.
35,ooooh questionnaires are fun where is it I wanna do it I wanna do it
35,i did a questionnaire online that would tell me based upon my responses where i would like to live.
35,What's in Oregon that tickles your fancy Pacific Northwest is like SO '94.
35,i'm going to move to oregon - anybody want to come with me
35,i agree with jimi and whoever doesn't is a fool.
35,Okay ironic circlists you heard Ben Let's vote All in favor of having the blogs post in sequential order from top to bottom (instead of bottom to top) so that it's easier to read say 'Aye' (make sure you post it on the blog as well instead of just saying it...).
35,jimi: like you i prefer sequential order as well; however since the page loads from the top it makes more sense to have all the messages in reverse chronological order to save you having to scroll all the way to the bottom.
35,are you jennifer asking that the circle have another anniversary party in november well sure just tell us when you'll be here and we can have a second dinner party
35,I just print my own money.
35,I am sadly unable to attend the Circle blogathering.
35,ben how about getting the blogs to post from top to bottom is that possible that way they can be read in sequential order instead of bottom to top...
35,thanks to some tips from allen i've been able to reduce the screen size for the word wrap on the blog - ideally this will allow everyone to read the blog without having to scroll horizontally.
35,There definitely are but it's a question of 'filling in the gaps.'
35,transcriptions are very tedious work - that's got to be a better way to make money.
35,As a test run for a potential gig I just spent the past 3 and a half hours transcribing a 37 min conference call.
35,Well my kidney infection is gone.
35,Will there be cuisine for us carnivores at the Panda Garden JK Can't say I watch television much at all anymore since about four years ago.
35,i don't really watch TV much anymore (maybe an hour or so a week) but when i do i watch Enterprise (the latest Star Trek) Junkyard Wars The Daily Show BattleBots... also pretty much anything having to do with science technology or otherwise geekworthy topics on TLC and Discovery Channel that i might stumble across.
35,Fellow Circle of Irony fools - To celebrate the sorta 6 month anniversary of Circle of Irony Ben (sorta) is having a dinner party (yes this mean you show uppay for your own dinner i pick the restaurant) on October 13th 6pm at Panda Garden on Grace St.
35,I LOVE THE FOOD NETWORK AND ALL THAT IT ENCOMPASSES IRON CHEF RULES I enjoy almost anything they re-run on A&E...Law & Order Third Watch Murder She Wrote Magnum PI L.A.
35,TITS WHEN AM I GONNA GROW TITS
35,I am still smoke-free...my last cigarette was Thursday night/Friday morning at midnight.
35,and now the moment you've all been waiting for... the Circle Of Irony Lack Of Participation Awards now that the 6-month anniversary of the Circle Of Irony has come (and gone) it's time to recognize those members of the Circle who have better things to do than posting to the blog.
35,are you still not smoking angie how many folks on this blog smoke
35,Actually bling-bling is usually 'ice' or diamonds especially when encrusted in a giant medallion hung about one's neck.
35,bling bling = money green g's cash dough bread ching ching dollahs benjamins you get the idea
35,and what the hell is blingbling
35,One of my fiancee's friends from grad school worked for Interfaith Housing Corp. before going back to VCU.
