labels,text
InvestmentBanking,Ah finally...someone else I know is coming here from Canada for a visit.
InvestmentBanking,Being gay in Korea is like being gay in the U.S. military...in 1950.
indUnk,Why can't I just learn to say no Last night at work a guy came in I hadn't seen in a while.
indUnk,I have a habit of constantly heading down dead-end roads that I KNOW are dead ends.
indUnk,Even though I am exhausted after today I must get in my rant to get a good night's sleep.
indUnk,Today Travis and I went out to run a few errands and have a nibble afterwards.
indUnk,Because I fear The Wraith and Hoggle equally as much it will probably be a while before a young fellow called Kristensen will hear about my joining the blogging world.
Student,Friends are like ships Anchored their lines by the harbor Each secrete their own goods Revealing only the hull Whether they bring wealth or disasters Cannot be foretold Some anchored for long others drift into the vast empty seas Some grow stale and become constant companions
Student,I looked upon the world A pulsing light Growing every minute Daring and brave was I I challenge its unknown might Blood was spilled Tainted the lands A new champion arises Such was its might I was imprisoned Chained to the bounds of eternity Strength and life was drained from me The brightness in my eye flickered and faded Sorrows and agony clenched my heart Fatigue was my constant companion Memories and nightmares haunted me The aura of it presence tremble me every moment Flesh rot and hang from my whitish limbs The seductive allure of hell draws me towards it Writing the last sentence of my life I watched my life flashed before me Like a rat was I Staring at the unassailable titan Witnessing my blade turning to dust My armor my faith swept away with the currents My shield my honor is what I have left Crows and vultures flew the skies covering the sun to an eclipse Jokers and minstrels both sang and mock at my foolishness Perusing his poems And studying mine Looking down at my own demise Drowned my heart and soul
Student,'Splinters Love' Dawn of the sun Is the end of night The end of summer Is the onlslaught of winter So many times When you love someone Even loving was painful When the love was broken So much does the splinters of love hurt the heart The birth of love Is the dawn of joy And the end of love Is the renewal of pain
Student,'The puppet' His eyes sparkled A smile brightened his face He danced in the lucid night Twirling and spinning He sang songs equal of a bard Graceful was his movements and his soul and body became one Kings and queens were dazzled by his arts Servants and slaves paused in awe Time drags on And kings yawned Time and his mind became mine Strings attached Snapped and torned His purpose was fulfilled And so he was to end A smile faded his off his face
Student,'The deer' Eyes darted Ears perked Shuffling sound of dead leaves Fingers of the frigid wind caressed the innocent soul Muscles and sinews tensed Watchful eyes watched its prey And wolves howl in triumphant Dark clouds shrouded the moon Shadows danced back and forth Signalling the end
Student,There have been times in my life when I have felt helpless.It is perhaps the most acute pain a person can know founded in frustration andand ventless rage.The nick of sword upon a battling soldier's arm cannot compare to the anguish a prisoner feels at the crack of a whip.
Student,'Five for fighting' Song I can't stand to fly I'm not that naive I'm just out to find The better part of me I'm more than a bird I'm more than a plane I'm more than some pretty face beside a train And it's not easy to be me I wish that I could cry Fall upon my knees Find a way to lie 'Bout a home I'll never see It may sound absurd But don't be naive Even heroes have the right to bleed I may be disturbed But won't you concede Even heroes have the right to dream And it's not easy to be me Up up and away away from me Well it's alright You can all sleep sound tonight I'm not crazy or anything I can't stand to fly I'm not that naive Men weren't meant to ride With clouds between their knees I'm only a man in a silly red sheet Digging for kryptonite on this one way street I'm only a man in a funny red sheet Looking for special things inside of me inside of me Inside of me yeah inside of me inside of me I'm only a man in a funny red sheet I'm only a man looking for a dream I'm only a man in a funny red sheet And it's not easy… It's not easy to be me
Student,'The hierachical order' Blades tore skies apart Lightning splits the wounded bird Silent winds swept the lands asunder Angry clouds darkened the skies Scythe of reapers plough the cities Lucid dreams haunted in forms of echoing shadows Treachery spoke louder than compassion Every corner was a silent dagger And a coup practiced neater than a courteous bow Even masters contorted in fear While slaves waited for the darkness to descend Shadows rise and fall unendingly
Student,Unsurprisingly it is the 14 of june.
Student,'Knowledge' Pages withered wise and old Pages flipped dust fluttered high and low Worn and tattered hid its view from common man Centuries flickered in the light of words The wise wrote its course And the lesser ones seek its enchantment
Student,'Truth of reality' As I sat on the sun set hill How the scenery seems mundane compared to you Looking into your enchanting eyes The presence of you gladdens my heart And your words sweeten my soul Time stopped parallel to space Holding your warm hands seeped the strands of love You are the one Who I’m willing to sacrifice for upon the altar of love To brave through the flames of hell To don the shinning armor and be your knight To hear your sorrows and despairs To understand and love you But when the dawn of reality shines upon me How I realize This was all an elusive dream There is no everlasting love No true love Every lie renders me apart Leaving me torn and tattered in an inevitable demise Dark devils fed my soul And men mocked my foolishness Winter now prey upon the land Leaving it bare and dead Life faded into the whispering wind
