labels,text
15,Info has been found (+/- 100 pages and 4.5 MB of .pdf files) Now i have to wait untill our team leader has processed it and learns html.
33,Thanks to Yahoo's Toolbar I can now 'capture' the URLs of popups...which means now I can show you some cool links to Korean Pop (K-Pop) audio and video without the need to relate instructions like: 'go to the site click on the pop-audio button then choose...'.
33,I had an interesting conversation with my Dad this morning.
33,Somehow Coca-Cola has a way of summing up things so well.
33,If anything Korea is a country of extremes.
33,I surf the English news sites a lot looking for tidbits on Korea and how foreigners (like me) view the 'Hermit Kingdom' but also as a way to keep up with this fast-moving place.
33,If you click on my profile you'll make a not-so-startling discovery...I was born in Year of the Pig as they say in the Korean/Chinese calendar.
33,Last night was pretty fun...mostly because of the company I kept.
33,There is so much that is different here from anything I've ever seen (well I haven't travelled that much just in Canada the US Philippines and Japan).
33,Here is the latest from the Korean rumor mill (it made it all the way to Coquitlam and my wife's ears).
33,So I've been in Vancouver a few days now...in Coquitlam actually.
33,Whenever I see a pregnant Korean lady I really feel for her because I know that within a few months she will have a 3-5 year sentence to complete and utter child-rearing duties.
33,My wife posed a strange question to me tonight.
33,As readers will know my favorite airline is Singapore Air (SAI).
33,When I was in Seoul these last few months I thought my wife had it kinda easy here with 'just' our 2 kids to take care of.
33,Korea especially Seoul is pretty cool; and Canada especially Vancouver is pretty cool too.
33,It seems everything is not all that smooth in Seoul concerning the recent changes.
33,Koreans have a great sense of community.
33,I used to cook for myself all the time (making bulggogi kalbi and even lasagna).
33,I often wondered where the restauranteurs heated up the briquettes or brinks or rocks that they placed in the table for traditional Korean cooking...then I saw this.
33,It feels like I didn't even leave this place which is a little scary.
33,It's been a busy last couple of weeks but I'm on my way back to Seoul today.
33,Some of you may remember my first article on oh-gyup-sal (five layers of fat pork).
33,A readers will know shopping in Seoul is a little different from back home (assuming back home is a Western country like Canada the US UK...).
33,In any developing country (and I believe Korea is 'developing' and really only started on the road to a real economy with the onset of real elections in 1994) there can be trials and tribulations for those who lead (politicians heads of business) and follow (workers students).
33,Just so you know this blog isn't about being political.
33,Korea is as you may have guessed a hyper-competitive place.
33,Ok you're probably looking at that title and wondering what the heck the connection is.
33,Yahoo Finally after being in Seoul for almost 2 years we closed our first deal.
33,I came across this in my daily readings of Korean news and sites...just trying to get a handle on this place.
33,Man how do I come across some of this stuff.
33,Ok it's not at all scientific.
33,Man with all that is going on I can see my posting to the ol' blog getting bogged down the next couple of week.
33,Ah finally...someone else I know is coming here from Canada for a visit.
33,Being gay in Korea is like being gay in the U.S. military...in 1950.
14,O= optimist P= pessimist My argument with myself: P: Nooooo Stop thinking about him O: Why He's my boyfriend.
14,I walk into the only entrance of my prison.
14,Why do I like him He's funny We have so much in common He is so cute We have the same sick mind He likes friends (I know huh) Unlike other guys he can actually match He is super sweet Never is he mad He is intelligent He is open almost... ok he's blunt He is witty He is NOT gay (see not all the good ones are) And yes ladys he is real... and taken.
14,I've fallen so deep so fast.
14,It's hard to think that we have less than a week together.
14,Stroke my face that's resting on your lap.
14,You may be wondering why my site is called 'Spaghetti Wall'.
14,I walk into a life long summer memory that I haven’t seen for two years.
14,I work at a day camp full of little kids.
14,What you are about to read is a “Quick Write”.
