labels,text
Student,Info has been found (+/- 100 pages and 4.5 MB of .pdf files) Now i have to wait untill our team leader has processed it and learns html.
InvestmentBanking,Thanks to Yahoo's Toolbar I can now 'capture' the URLs of popups...which means now I can show you some cool links to Korean Pop (K-Pop) audio and video without the need to relate instructions like: 'go to the site click on the pop-audio button then choose...'.
InvestmentBanking,I had an interesting conversation with my Dad this morning.
InvestmentBanking,Somehow Coca-Cola has a way of summing up things so well.
InvestmentBanking,If anything Korea is a country of extremes.
InvestmentBanking,I surf the English news sites a lot looking for tidbits on Korea and how foreigners (like me) view the 'Hermit Kingdom' but also as a way to keep up with this fast-moving place.
InvestmentBanking,If you click on my profile you'll make a not-so-startling discovery...I was born in Year of the Pig as they say in the Korean/Chinese calendar.
InvestmentBanking,Last night was pretty fun...mostly because of the company I kept.
InvestmentBanking,There is so much that is different here from anything I've ever seen (well I haven't travelled that much just in Canada the US Philippines and Japan).
InvestmentBanking,Here is the latest from the Korean rumor mill (it made it all the way to Coquitlam and my wife's ears).
InvestmentBanking,So I've been in Vancouver a few days now...in Coquitlam actually.
InvestmentBanking,Whenever I see a pregnant Korean lady I really feel for her because I know that within a few months she will have a 3-5 year sentence to complete and utter child-rearing duties.
InvestmentBanking,My wife posed a strange question to me tonight.
InvestmentBanking,As readers will know my favorite airline is Singapore Air (SAI).
InvestmentBanking,When I was in Seoul these last few months I thought my wife had it kinda easy here with 'just' our 2 kids to take care of.
InvestmentBanking,Korea especially Seoul is pretty cool; and Canada especially Vancouver is pretty cool too.
InvestmentBanking,It seems everything is not all that smooth in Seoul concerning the recent changes.
InvestmentBanking,Koreans have a great sense of community.
InvestmentBanking,I used to cook for myself all the time (making bulggogi kalbi and even lasagna).
InvestmentBanking,I often wondered where the restauranteurs heated up the briquettes or brinks or rocks that they placed in the table for traditional Korean cooking...then I saw this.
InvestmentBanking,It feels like I didn't even leave this place which is a little scary.
InvestmentBanking,It's been a busy last couple of weeks but I'm on my way back to Seoul today.
InvestmentBanking,Some of you may remember my first article on oh-gyup-sal (five layers of fat pork).
